epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.4337,2.98851,3.80208,1.43453,0.17426,0.372,0.25583,0.10826,1.75199,1.65865,0.97158,0.00165625,0.000552082,0.00165625,0.000552082,0.00165625,0.000552082,0.00165625,0.000552082
2,76.5728,2.56836,2.0675,1.20181,0.42799,0.4725,0.45078,0.23261,1.84764,1.5731,0.98904,0.00325744,0.00108581,0.00325744,0.00108581,0.00325744,0.00108581,0.00325744,0.00108581
3,96.3039,2.44561,1.90281,1.14437,0.44651,0.63259,0.44239,0.20422,1.842,1.5454,0.97605,0.00479263,0.00159754,0.00479263,0.00159754,0.00479263,0.00159754,0.00479263,0.00159754
4,115.638,2.34717,1.76582,1.10808,0.54639,0.51953,0.50645,0.25375,1.85992,1.46261,0.97492,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,135.428,2.2522,1.63205,1.08348,0.56098,0.63755,0.58044,0.30561,1.7543,1.31302,0.95447,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,155.301,2.16313,1.53658,1.05448,0.74303,0.53556,0.61716,0.33312,1.76186,1.27767,0.95845,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,174.788,2.11998,1.46716,1.04645,0.59267,0.62397,0.60704,0.33469,1.62864,1.22681,0.93346,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,194.443,2.04676,1.3906,1.0295,0.59166,0.58257,0.57785,0.28957,1.78268,1.28051,0.95747,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,214.227,1.98758,1.3271,1.0189,0.63844,0.63947,0.63245,0.33138,1.71243,1.21915,0.94145,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,233.862,1.94962,1.27241,1.00472,0.72471,0.59839,0.65584,0.31756,1.84704,1.21472,0.96073,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,253.623,1.949,1.25752,1.00577,0.71638,0.6319,0.68465,0.31543,1.88146,1.23969,0.97335,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,273.017,1.88516,1.22082,0.99287,0.71456,0.6491,0.68875,0.38263,1.62345,1.14515,0.92312,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,292.581,1.85994,1.18352,0.98484,0.66564,0.66629,0.67135,0.34776,1.747,1.16221,0.94208,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,312.691,1.85342,1.16539,0.9891,0.7287,0.62749,0.68224,0.33756,1.74063,1.15043,0.94956,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,333,1.81532,1.13738,0.97064,0.65354,0.66533,0.65925,0.32766,1.76492,1.17437,0.94532,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,352.858,1.77424,1.10789,0.96107,0.71273,0.64094,0.68278,0.35387,1.70869,1.12325,0.943,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,372.528,1.77003,1.09397,0.96106,0.76138,0.65196,0.69719,0.35374,1.78307,1.14527,0.95188,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,392.079,1.72992,1.07098,0.95215,0.71057,0.73861,0.76168,0.41389,1.6824,1.05867,0.93137,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,411.617,1.73608,1.06908,0.96332,0.66258,0.71137,0.70771,0.3538,1.75025,1.10364,0.94191,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,431.072,1.71347,1.04773,0.95309,0.72855,0.66373,0.70137,0.35217,1.70532,1.10714,0.935,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,450.913,1.70558,1.03761,0.95381,0.73397,0.67044,0.68899,0.34228,1.65308,1.10005,0.93223,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,469.675,1.67623,1.01863,0.94597,0.66447,0.64099,0.66843,0.33189,1.74235,1.12922,0.95177,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,488.829,1.65353,0.99863,0.94374,0.65204,0.64892,0.66389,0.32688,1.72158,1.15091,0.94368,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,508.34,1.65704,1.00506,0.94261,0.67184,0.58373,0.6197,0.32709,1.6384,1.14631,0.93153,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,527.481,1.63714,0.98582,0.9341,0.65766,0.60169,0.63964,0.31892,1.71488,1.12615,0.94744,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,546.574,1.60812,0.96577,0.92874,0.63276,0.68375,0.64329,0.3347,1.65971,1.10641,0.9319,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,565.811,1.60762,0.9639,0.93297,0.68319,0.62453,0.65297,0.34416,1.73164,1.13512,0.94546,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,584.933,1.58637,0.94423,0.92854,0.65274,0.65067,0.65605,0.3587,1.62266,1.10985,0.92842,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,604.04,1.57304,0.93776,0.92129,0.64112,0.67314,0.64832,0.35563,1.66623,1.13071,0.93372,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,623.114,1.54753,0.93616,0.92344,0.65697,0.63603,0.64569,0.33691,1.68475,1.13224,0.93757,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,642.198,1.55045,0.92193,0.91833,0.6453,0.63225,0.64789,0.34128,1.68634,1.11289,0.9377,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,661.249,1.52708,0.90651,0.91485,0.66314,0.63186,0.64847,0.35665,1.66814,1.09337,0.9346,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,680.354,1.528,0.89827,0.90981,0.71795,0.61832,0.66122,0.36229,1.66345,1.08952,0.93212,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,699.71,1.50272,0.88831,0.90361,0.74492,0.66451,0.66618,0.36139,1.65432,1.0954,0.92871,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
